Rank,Player,Team,Blocks per 90,Total Blocks,Minutes,Matches,Country
1,Antonio Raillo,Mallorca,1.2,30.0,2198,26,ESP
2,Sergio Ramos,Sevilla,1.1,30.0,2518,28,ESP
3,Carl Starfelt,Celta de Vigo,1.1,28.0,2218,27,SWE
4,Raul Albiol,Villarreal,1.1,24.0,2035,26,ESP
5,Edgar González,Almería,1.0,28.0,2528,31,ESP
6,Abdelkabir Abqar,Alavés,1.0,26.0,2314,27,MAR
7,Victor Chust,Cádiz,1.0,21.0,1870,22,ESP
8,Abdul Mumin,Rayo Vallecano,1.0,19.0,1695,20,GHA
9,Miguel Rubio,Granada CF,1.0,18.0,1559,19,ESP
10,Julian Araujo,Las Palmas,1.0,16.0,1462,25,MEX
11,Juan Brandariz,Almería,0.9,23.0,2432,31,ESP
12,David Lopez,Girona,0.9,19.0,1975,25,ESP
13,Pau Cubarsi,Barcelona,0.9,16.0,1562,19,ESP
14,Daniel Vivian,Athletic Club,0.8,25.0,2879,33,ESP
15,Fali,Cádiz,0.8,24.0,2550,30,ESP
15,Unai Nunez,Celta de Vigo,0.8,24.0,2802,34,ESP
17,Rafa Marin,Alavés,0.8,21.0,2442,33,ESP
18,Matija Nastasic,Mallorca,0.8,20.0,2257,26,SRB
19,Stefan Savic,Atlético de Madrid,0.8,15.0,1631,23,MNE
20,Kike Salas,Sevilla,0.8,14.0,1604,23,ESP
21,José Giménez,Atlético de Madrid,0.8,12.0,1323,22,URU
22,Cristhian Mosquera,Valencia CF,0.7,23.0,3074,36,ESP
23,Axel Witsel,Atlético de Madrid,0.7,21.0,2784,35,BEL
24,Antonio Rüdiger,Real Madrid,0.7,20.0,2707,33,GER
25,David Garcia,Osasuna,0.7,19.0,2336,27,ESP
25,Igor Zubeldia,Real Sociedad,0.7,19.0,2523,30,ESP
27,Omar Alderete,Getafe,0.7,18.0,2194,31,PAR
28,Thierry Correia,Valencia CF,0.7,16.0,2157,31,POR
29,Jorge Cuenca,Villarreal,0.7,15.0,1961,29,ESP
30,Aridane Hernández,Rayo Vallecano,0.7,14.0,1691,19,EQG
31,Nacho Fernandez,Real Madrid,0.7,13.0,1739,29,ESP
32,Carlos Dominguez,Celta de Vigo,0.7,12.0,1585,22,ESP
33,Inigo Martinez,Barcelona,0.7,10.0,1293,20,ESP
34,Nemanja Maksimovic,Getafe,0.6,23.0,3272,37,SRB
35,Daley Blind,Girona,0.6,19.0,2971,34,NED
35,Eric Garcia,Girona,0.6,19.0,2697,32,ESP
37,Germán Pezzella,Real Betis,0.6,18.0,2770,32,ARG
38,Loic Badé,Sevilla,0.6,15.0,2283,28,FRA
38,Saul Coco,Las Palmas,0.6,15.0,2293,30,EQG
40,Chadi Riad,Real Betis,0.6,14.0,2164,26,MAR
41,Aurélien Tchouaméni,Real Madrid,0.6,13.0,1987,27,FRA
42,Jorge Herrando,Osasuna,0.6,11.0,1644,19,ESP
43,Saul Niguez,Atlético de Madrid,0.6,9.0,1363,34,ESP
44,Aihen Munoz,Real Sociedad,0.6,8.0,1120,21,ESP
44,Kieran Tierney,Real Sociedad,0.6,8.0,1243,20,SCO
44,Nahuel Tenaglia,Alavés,0.6,8.0,1131,25,ARG
47,Alfonso Pedraza,Villarreal,0.6,7.0,1119,19,ESP
48,Mika Mármol,Las Palmas,0.5,19.0,3181,36,ESP
49,Florian Lejeune,Rayo Vallecano,0.5,18.0,3328,37,FRA
50,Aleix Garcia,Girona,0.5,17.0,3201,37,ESP
51,Ignasi Miquel,Granada CF,0.5,16.0,2991,34,ESP
52,Alejandro Catena,Osasuna,0.5,15.0,2536,30,ESP
52,Djené,Getafe,0.5,15.0,2490,33,TOG
52,Jesus Areso,Osasuna,0.5,15.0,2661,37,ESP
52,Robin Le Normand,Real Sociedad,0.5,15.0,2473,29,ESP
56,Alex Suárez,Las Palmas,0.5,14.0,2566,32,ESP
56,Samu,Mallorca,0.5,14.0,2305,34,POR
58,Ronald Araujo,Barcelona,0.5,11.0,1994,25,URU
59,Andreas Christensen,Barcelona,0.5,10.0,1990,30,DEN
59,Gabriel Paulista,Atlético de Madrid,0.5,10.0,1806,23,BRA
59,Gonzalo Villar,Granada CF,0.5,10.0,1785,35,ESP
59,Pathé Ciss,Rayo Vallecano,0.5,10.0,1658,31,SEN
63,César Montes,Almería,0.5,9.0,1792,21,MEX
63,Nemanja Gudelj,Sevilla,0.5,9.0,1744,22,SRB
63,Santi Comesana,Villarreal,0.5,9.0,1656,27,ESP
66,Omar Mascarell,Mallorca,0.5,8.0,1573,29,EQG
67,Juanlu Sánchez,Sevilla,0.5,7.0,1174,26,ESP
67,Renato Tapia,Celta de Vigo,0.5,7.0,1337,21,PER
69,Ander Herrera,Athletic Club,0.5,6.0,1023,23,ESP
70,Jesus Vázquez,Valencia CF,0.5,4.0,705,20,ESP
71,Carlos Neva,Granada CF,0.4,14.0,3152,36,ESP
71,Rubén Alcaraz,Cádiz,0.4,14.0,3138,36,ESP
73,Ander Guevara,Alavés,0.4,12.0,2936,37,ESP
73,Jules Koundé,Barcelona,0.4,12.0,2899,35,FRA
73,Koke,Atlético de Madrid,0.4,12.0,2502,35,ESP
76,Aitor Paredes,Athletic Club,0.4,11.0,2706,34,ESP
76,Gaston Álvarez,Getafe,0.4,11.0,2535,34,URU
76,Marcos Llorente,Atlético de Madrid,0.4,11.0,2570,37,ESP
76,Martin Valjent,Mallorca,0.4,11.0,2354,28,SVK
76,Mikel Merino,Real Sociedad,0.4,11.0,2485,32,ESP
81,Daniel Carvajal,Real Madrid,0.4,9.0,2172,28,ESP
81,Yuri Berchiche,Athletic Club,0.4,9.0,1931,27,ESP
83,Benat Turrientes,Real Sociedad,0.4,8.0,1688,29,ESP
83,Eduardo Camavinga,Real Madrid,0.4,8.0,1824,31,FRA
83,Frenkie de Jong,Barcelona,0.4,8.0,1637,20,NED
83,Marc Pubill,Almería,0.4,8.0,1889,23,ESP
87,Cenk Özkacar,Valencia CF,0.4,7.0,1595,23,TUR
87,Juan Cruz,Osasuna,0.4,7.0,1663,26,ESP
87,Juan Iglesias,Getafe,0.4,7.0,1413,23,ESP
87,Mikel Vesga,Athletic Club,0.4,7.0,1535,27,ESP
91,César Azpilicueta,Atlético de Madrid,0.4,6.0,1421,25,ESP
91,Iddrisu Baba,Almería,0.4,6.0,1424,25,GHA
91,Jon Pacheco,Real Sociedad,0.4,6.0,1521,23,ESP
91,José Copete,Mallorca,0.4,6.0,1335,19,ESP
95,Álex Fernández,Cádiz,0.4,5.0,1283,26,ESP
95,Arnau Martinez,Girona,0.4,5.0,1240,21,ESP
95,Carlos Benavidez,Alavés,0.4,5.0,1121,29,URU
95,Yeray Álvarez,Athletic Club,0.4,5.0,1155,19,ESP
99,Alejandro Pozo,Almería,0.4,4.0,970,21,ESP
100,Iván Balliu,Rayo Vallecano,0.3,11.0,2876,33,ALB
100,Miguel Gutiérrez,Girona,0.3,11.0,3037,35,ESP
102,Oscar Valentin,Rayo Vallecano,0.3,10.0,2700,34,ESP
102,Pepelu,Valencia CF,0.3,10.0,3305,37,ESP
104,Daniel Parejo,Villarreal,0.3,9.0,2586,33,ESP
104,Javi Lopez,Alavés,0.3,9.0,2387,32,ESP
104,Javier Hernández,Cádiz,0.3,9.0,2517,30,ESP
104,Lucas Robertone,Almería,0.3,9.0,2391,33,ARG
104,Mario Hermoso,Atlético de Madrid,0.3,9.0,2556,31,ESP
104,Martin Zubimendi,Real Sociedad,0.3,9.0,2655,31,ESP
110,Andoni Gorosabel,Alavés,0.3,8.0,2863,36,ESP
110,Diego Rico,Getafe,0.3,8.0,2536,32,ESP
110,Hamari Traoré,Real Sociedad,0.3,8.0,2296,31,MLI
110,Inaki Williams,Athletic Club,0.3,8.0,2855,34,GHA
110,Rubén Pena,Osasuna,0.3,8.0,2105,29,ESP
110,Yangel Herrera,Girona,0.3,8.0,2120,29,VEN
116,Boubakary Soumaré,Sevilla,0.3,7.0,2286,28,FRA
116,Gerard Moreno,Villarreal,0.3,7.0,2229,30,ESP
116,Javier Guerra,Valencia CF,0.3,7.0,2502,36,ESP
116,Jesus Navas,Sevilla,0.3,7.0,2010,29,ESP
120,Adrià Pedrosa,Sevilla,0.3,6.0,1749,31,ESP
120,Guido Rodriguez,Real Betis,0.3,6.0,1849,24,ARG
120,Inigo Lekue,Athletic Club,0.3,6.0,2001,27,ESP
120,Juan Miranda,Real Betis,0.3,6.0,1860,25,ESP
120,Kiko,Villarreal,0.3,6.0,1579,23,ESP
120,Marc Roca,Real Betis,0.3,6.0,1986,26,ESP
120,Rubén Duarte,Alavés,0.3,6.0,1875,28,ESP
127,Abner,Real Betis,0.3,5.0,1397,23,BRA
127,Antonio Sánchez,Mallorca,0.3,5.0,1463,29,ESP
127,Benat Prados,Athletic Club,0.3,5.0,1450,26,ESP
127,Gonzalo Escalante,Cádiz,0.3,5.0,1702,25,ARG
127,Hector Bellerin,Real Betis,0.3,5.0,1714,23,ESP
127,Kike Garcia,Alavés,0.3,5.0,1421,33,ESP
127,Lucas Vázquez,Real Madrid,0.3,5.0,1410,29,ESP
134,Gonzalo Melero,Almería,0.3,4.0,1093,28,ESP
135,Anastasios Douvikas,Celta de Vigo,0.3,3.0,886,32,GRE
135,Carles Alena,Getafe,0.3,3.0,1007,29,ESP
137,Daniel Ceballos,Real Madrid,0.3,2.0,586,20,ESP
137,Pablo Torre,Girona,0.3,2.0,690,26,ESP
139,Christopher Ramos,Cádiz,0.2,7.0,2627,37,ESP
139,Isaac Carcelén,Cádiz,0.2,7.0,2609,35,ESP
139,Oscar Mingueza,Celta de Vigo,0.2,7.0,3002,38,ESP
139,Sergi Cardona,Las Palmas,0.2,7.0,2816,35,ESP
143,Joao Cancelo,Barcelona,0.2,6.0,2506,32,POR
143,Oscar de Marcos,Athletic Club,0.2,6.0,2261,28,ESP
143,Sergio Ruiz,Granada CF,0.2,6.0,2501,35,ESP
146,Ante Budimir,Osasuna,0.2,5.0,2449,33,CRO
146,Cyle Larin,Mallorca,0.2,5.0,1823,35,CAN
146,Daniel Rodriguez,Mallorca,0.2,5.0,2632,36,ESP
146,Dion Lopy,Almería,0.2,5.0,1917,30,SEN
146,Gerard Gumbau,Granada CF,0.2,5.0,2684,35,ESP
146,Hugo Duro,Valencia CF,0.2,5.0,2994,37,ESP
146,Iker Munoz,Osasuna,0.2,5.0,1856,28,ESP
146,Inigo Ruiz de Galarreta,Athletic Club,0.2,5.0,2104,29,ESP
146,Jon Moncayola,Osasuna,0.2,5.0,1801,33,ESP
146,Jude Bellingham,Real Madrid,0.2,5.0,2323,28,ENG
146,Lucas Boye,Granada CF,0.2,5.0,2555,31,ARG
157,Ayoze Pérez,Real Betis,0.2,4.0,2307,31,ESP
157,Étienne Capoue,Villarreal,0.2,4.0,1444,32,FRA
157,Jaume Costa,Mallorca,0.2,4.0,1681,30,ESP
157,Luca de la Torre,Celta de Vigo,0.2,4.0,1956,31,USA
157,Lucas Pires,Cádiz,0.2,4.0,1527,28,BRA
157,Luka Modric,Real Madrid,0.2,4.0,1685,32,CRO
157,Maximo Perrone,Las Palmas,0.2,4.0,1626,29,ARG
157,Mikel Oyarzabal,Real Sociedad,0.2,4.0,2157,33,ESP
157,Oliver Torres,Sevilla,0.2,4.0,1620,27,ESP
157,Ricard Sánchez,Granada CF,0.2,4.0,2298,33,ESP
157,Sergi Darder,Mallorca,0.2,4.0,2154,36,ESP
157,Sergio Akieme,Almería,0.2,4.0,1676,19,EQG
157,Toni Kroos,Real Madrid,0.2,4.0,2130,33,GER
157,Vedat Muriqi,Mallorca,0.2,4.0,2329,29,KVX
171,Abdon Prats,Mallorca,0.2,3.0,1258,34,ESP
171,Djibril Sow,Sevilla,0.2,3.0,1469,24,SUI
171,Francisco Garcia,Real Madrid,0.2,3.0,1396,25,ESP
171,Hugo Guillamon,Valencia CF,0.2,3.0,1305,26,ESP
171,José Gayà,Valencia CF,0.2,3.0,1797,24,ESP
171,Manuel Sánchez,Celta de Vigo,0.2,3.0,1777,26,ESP
171,Maximiliano Gomez,Cádiz,0.2,3.0,1157,31,URU
171,Pablo Barrios,Atlético de Madrid,0.2,3.0,1556,24,ESP
171,Pablo Ibánez,Osasuna,0.2,3.0,1141,33,ESP
171,Pedri,Barcelona,0.2,3.0,1482,24,ESP
171,Pep Chavarria,Rayo Vallecano,0.2,3.0,1164,22,ESP
171,Rubén Garcia,Osasuna,0.2,3.0,1549,30,ESP
171,Toni Lato,Mallorca,0.2,3.0,1546,28,ESP
184,Cristhian Stuani,Girona,0.2,2.0,782,31,URU
184,Dodi Lukebakio,Sevilla,0.2,2.0,1124,23,BEL
184,José Arnáiz,Osasuna,0.2,2.0,922,26,ESP
184,Oriol Romeu,Barcelona,0.2,2.0,930,28,ESP
184,Unai Gomez,Athletic Club,0.2,2.0,867,25,ESP
189,Benito,Las Palmas,0.2,1.0,368,20,ESP
189,Iker Muniain,Athletic Club,0.2,1.0,585,20,ESP
189,Raul Garcia,Athletic Club,0.2,1.0,404,20,ESP
189,Valery Fernández,Girona,0.2,1.0,486,27,ESP
193,Alexander Sørloth,Villarreal,0.1,4.0,2491,34,NOR
193,Alfonso Espino,Rayo Vallecano,0.1,4.0,2512,31,URU
193,Brais Méndez,Real Sociedad,0.1,4.0,2420,32,ESP
193,Ilkay Gündogan,Barcelona,0.1,4.0,2997,36,GER
193,Javier Munoz,Las Palmas,0.1,4.0,2646,37,ESP
193,Robert Lewandowski,Barcelona,0.1,4.0,2758,35,POL
199,Álvaro Morata,Atlético de Madrid,0.1,3.0,1909,32,ESP
199,Antoine Griezmann,Atlético de Madrid,0.1,3.0,2654,33,FRA
199,Giovanni González,Mallorca,0.1,3.0,2463,34,URU
199,Iago Aspas,Celta de Vigo,0.1,3.0,2715,35,ESP
199,Iván Martin,Girona,0.1,3.0,2744,36,ESP
199,Jon Guridi,Alavés,0.1,3.0,2697,36,ESP
199,Kirian Rodriguez,Las Palmas,0.1,3.0,3217,37,ESP
199,Myrto Uzuni,Granada CF,0.1,3.0,2459,34,ALB
199,Nahuel Molina,Atlético de Madrid,0.1,3.0,1855,30,ARG
199,Unai Lopez,Rayo Vallecano,0.1,3.0,2123,35,ESP
209,Aimar Oroz,Osasuna,0.1,2.0,2350,33,ESP
209,Alberto Moreno,Villarreal,0.1,2.0,1490,27,ESP
209,Álex Baena,Villarreal,0.1,2.0,2599,34,ESP
209,Alex Sola,Alavés,0.1,2.0,1285,31,ESP
209,Antonio Blanco,Alavés,0.1,2.0,2436,33,ESP
209,Enzo Loiodice,Las Palmas,0.1,2.0,1792,34,FRA
209,Federico Valverde,Real Madrid,0.1,2.0,2910,37,URU
209,Ferland Mendy,Real Madrid,0.1,2.0,1725,23,FRA
209,Fran Beltrán,Celta de Vigo,0.1,2.0,2438,33,ESP
209,Gorka Guruzeta,Athletic Club,0.1,2.0,2240,32,ESP
209,Ilias Akhomach,Villarreal,0.1,2.0,1511,31,MAR
209,Isi Palazon,Rayo Vallecano,0.1,2.0,2810,37,ESP
209,Johan Mojica,Osasuna,0.1,2.0,2041,30,COL
209,José Ángel Carmona,Getafe,0.1,2.0,1312,30,ESP
209,Largie Ramazani,Almería,0.1,2.0,1560,29,BEL
209,Lucas Torro,Osasuna,0.1,2.0,1788,28,ESP
209,Marcos Acuna,Sevilla,0.1,2.0,1296,21,ARG
209,Marvin Park,Las Palmas,0.1,2.0,1852,31,ESP
209,Nico Williams,Athletic Club,0.1,2.0,2280,31,ESP
209,Pablo Maffeo,Mallorca,0.1,2.0,1456,22,ARG
209,Ruben Sobrino,Cádiz,0.1,2.0,1648,32,ESP
209,Samuel Omorodion,Alavés,0.1,2.0,2003,35,ESP
209,Sergi Canos,Valencia CF,0.1,2.0,1234,27,ESP
209,Sergio Camello,Rayo Vallecano,0.1,2.0,1668,31,ESP
209,Takefusa Kubo,Real Sociedad,0.1,2.0,2155,30,JPN
209,Willian José,Real Betis,0.1,2.0,1978,33,BRA
209,Yan Couto,Girona,0.1,2.0,2245,34,BRA
236,Abderrahman Rebbach,Alavés,0.1,1.0,713,23,ALG
236,Ander Barrenetxea,Real Sociedad,0.1,1.0,1436,29,ESP
236,Anthony Lozano,Almería,0.1,1.0,866,19,HON
236,Brahim Diaz,Real Madrid,0.1,1.0,1551,31,MAR
236,Cristian Portu,Girona,0.1,1.0,1271,36,ESP
236,Darwin Machis,Cádiz,0.1,1.0,782,21,VEN
236,Fermin Lopez,Barcelona,0.1,1.0,1444,31,ESP
236,Ferran Torres,Barcelona,0.1,1.0,1204,29,ESP
236,Jaime Mata,Getafe,0.1,1.0,1790,35,ESP
236,Javi Galán,Real Sociedad,0.1,1.0,1159,19,ESP
236,Joao Félix,Barcelona,0.1,1.0,1542,30,POR
236,José Luis Morales,Villarreal,0.1,1.0,1037,29,ESP
236,José Maria Callejon,Granada CF,0.1,1.0,794,25,ESP
236,Joselu,Real Madrid,0.1,1.0,1676,34,ESP
236,Manu Morlanes,Mallorca,0.1,1.0,1610,35,ESP
236,Oscar Rodriguez,Getafe,0.1,1.0,962,24,ESP
236,Oscar Trejo,Rayo Vallecano,0.1,1.0,1381,31,ARG
236,Ramon Terrats,Villarreal,0.1,1.0,780,19,ESP
236,Raphinha,Barcelona,0.1,1.0,1370,28,BRA
236,Raul Garcia,Osasuna,0.1,1.0,1347,35,ESP
236,Roger,Cádiz,0.1,1.0,1367,23,ESP
236,William Carvalho,Real Betis,0.1,1.0,669,22,POR
258,Adrián Embarba,Almería,0.0,1.0,2485,36,ESP
258,Artem Dovbyk,Girona,0.0,1.0,2605,36,UKR
258,Diego Lopez,Valencia CF,0.0,1.0,2671,36,ESP
258,Dimitri Foulquier,Valencia CF,0.0,1.0,1833,33,FRA
258,Isco,Real Betis,0.0,1.0,2338,29,ESP
258,Jørgen Strand Larsen,Celta de Vigo,0.0,1.0,2887,37,NOR
258,Leo Baptistao,Almería,0.0,1.0,1843,32,BRA
258,Lucas Ocampos,Sevilla,0.0,1.0,2885,35,ARG
258,Luis Milla,Getafe,0.0,1.0,2123,27,ESP
258,Luis Rioja,Alavés,0.0,1.0,2511,37,ESP
258,Moi Gomez,Osasuna,0.0,1.0,2010,28,ESP
258,Munir El Haddadi,Las Palmas,0.0,1.0,2470,38,MAR
258,Oihan Sancet,Athletic Club,0.0,1.0,1991,30,ESP
258,Rodrigo De Paul,Atlético de Madrid,0.0,1.0,2084,34,ARG
258,Samuel Dias Lino,Atlético de Madrid,0.0,1.0,2087,34,BRA
258,Sandro Ramirez,Las Palmas,0.0,1.0,1819,27,ESP
258,Sergio Arribas,Almería,0.0,1.0,2055,34,ESP
258,Viktor Tsigankov,Girona,0.0,1.0,2067,30,UKR
258,Youssef En-Nesyri,Sevilla,0.0,1.0,2573,33,MAR
